MachineId,MeasurementId,PumpFailed,SlowStart,SlowEnd
0_0_0,0,False,False,False
0_0_1,-1,,,
0_0_2,0,False,False,False
0_0_3,0,True,False,False
0_1_0,-1,,,
0_1_1,1,True,False,False
0_1_2,-1,,,
0_1_3,-1,,,
1_0_0,2,False,True,False
1_0_1,-1,,,
1_0_2,-1,,,
1_0_3,-1,,,
0_2_0,-1,,,
0_2_1,-1,,,
0_2_2,-1,,,
0_2_3,-1,,,
2_2_0,3,False,False,False
2_2_1,-1,,,
2_2_2,3,True,False,False
2_2_3,-1,,,
1_2_0,4,False,False,False
1_2_1,4,False,False,True
1_2_2,4,True,False,False
1_2_3,-1,,,
3_0_0,-1,,,
3_0_1,5,False,False,False
3_0_2,5,False,True,False
3_0_3,5,False,False,False
0_1_1,6,True,False,False
0_1_2,6,False,False,True
0_1_3,6,False,False,False
0_1_1,7,True,False,False
0_1_3,7,True,False,False
0_0_0,-1,,,
0_0_2,8,False,False,True
0_0_3,-1,,,
0_2_2,9,True,False,False
1_2_0,-1,,,
1_2_1,10,False,False,False
1_2_2,10,True,False,False
0_1_1,-1,,,
0_1_2,11,False,False,True
0_1_3,11,False,False,False
1_2_0,12,False,False,False
1_2_1,12,False,False,False
1_2_2,12,True,False,False
1_2_3,12,False,False,True
0_1_1,13,False,False,False
0_1_2,13,False,False,True
2_2_0,-1,,,
2_2_2,14,False,False,False
2_2_3,14,False,True,False
2_2_0,15,False,True,False
2_2_2,-1,,,
1_2_0,16,False,False,False
1_2_1,-1,,,
1_2_2,-1,,,
1_2_3,16,False,False,False
2_2_0,17,False,False,False
2_2_0,18,False,False,False
2_2_1,18,False,False,False
2_2_2,18,True,False,False
2_2_3,18,False,False,False
0_2_0,19,False,False,True
0_2_1,19,False,False,True
0_2_3,19,False,False,True
2_2_0,20,True,False,False
2_2_2,20,False,False,False
0_2_1,21,False,False,False
0_2_2,21,False,False,False
0_2_3,21,False,False,False
3_1_0,22,True,False,False
3_1_1,22,False,True,False
3_1_2,22,True,False,False
3_1_3,22,True,False,False
4_2_0,23,False,False,False
4_2_1,-1,,,
4_2_2,23,False,False,False
4_2_3,-1,,,
5_1_0,-1,,,
5_1_1,-1,,,
5_1_2,-1,,,
5_1_3,-1,,,
0_2_0,24,False,False,True
0_2_2,24,False,False,True
0_2_3,24,False,False,True
1_2_0,25,False,False,False
1_2_1,25,False,False,True
1_2_2,25,False,False,False
1_2_0,26,False,False,False
1_2_1,26,False,False,True
1_2_2,26,False,False,True
2_2_0,27,False,False,False
2_2_1,27,True,False,False
2_2_2,27,False,False,False
6_0_0,28,True,,
6_0_1,28,True,,
6_0_2,28,True,,
6_0_3,28,True,,
6_0_0,29,True,,
6_0_1,-1,,,
6_0_2,-1,,,
6_0_3,-1,,,
6_0_0,-1,,,
6_0_1,30,True,,
6_0_3,30,True,,
6_0_3,31,True,,
6_0_0,32,True,,
6_0_2,32,True,,
6_0_3,32,True,,
6_0_2,33,True,,
6_0_3,33,True,,
6_0_1,34,True,,
6_0_0,35,True,,
6_0_3,35,True,,
6_0_0,36,True,,
6_0_1,36,True,,
6_0_0,37,True,,
6_0_1,37,True,,
6_0_0,38,True,,
6_0_1,38,True,,
6_0_2,38,True,,
6_0_0,39,True,,
6_0_1,39,True,,
6_0_2,39,True,,
6_0_3,39,True,,
6_0_0,40,True,,
6_0_1,40,True,,
6_0_2,40,True,,
6_0_3,40,True,,
6_0_0,41,True,,
6_0_2,41,True,,
6_0_3,41,True,,
6_0_1,42,True,,
6_0_0,43,True,,
6_0_1,44,True,,
6_0_3,45,True,,
6_0_0,46,True,,
6_0_1,46,True,,
6_0_2,46,True,,
6_0_3,46,True,,
6_0_0,47,True,,
6_0_1,47,True,,
6_0_2,47,True,,
6_0_0,48,True,,
6_0_1,48,True,,
6_0_3,48,True,,
6_0_1,49,True,,
6_0_2,49,True,,
6_0_2,50,True,,
6_0_0,51,True,,
6_0_1,51,True,,
6_0_2,51,True,,
6_0_3,51,True,,
6_0_0,52,True,,
6_0_1,52,True,,
6_0_0,53,True,,
6_0_1,53,True,,
6_0_3,53,True,,
6_0_0,54,True,,
6_0_1,54,True,,
6_0_2,54,True,,
6_0_3,54,True,,
6_0_1,55,True,,
6_0_0,56,True,,
6_0_1,56,True,,
6_0_2,56,True,,
6_0_1,57,True,,
6_0_0,58,True,,
6_0_3,58,True,,
6_0_0,59,True,,
6_0_1,59,True,,
6_0_2,59,True,,
6_0_3,59,True,,
6_0_1,60,True,,
6_0_3,60,True,,
6_0_0,61,True,,
6_0_1,61,True,,
6_0_2,61,True,,
6_0_3,61,True,,
6_0_0,62,True,,
6_0_2,62,True,,
6_0_3,62,True,,
6_0_0,63,True,,
6_0_1,63,True,,
6_0_3,63,True,,
6_0_1,64,True,,
6_0_3,64,True,,
6_0_1,65,True,,
6_0_2,66,True,,
6_0_0,67,True,,
6_0_2,67,True,,
6_0_3,67,True,,
7_2_0,68,True,False,False
7_2_1,68,True,False,False
7_2_2,68,False,True,False
7_2_3,-1,,,
7_2_0,69,True,False,False
7_2_1,-1,,,
7_2_2,69,True,False,False
7_2_0,-1,,,
7_2_2,-1,,,
7_2_3,70,False,True,False
7_2_1,71,True,False,False
0_1_2,72,False,False,True
0_1_3,72,False,False,True
0_1_2,73,False,False,True
8_2_0,-1,,,
8_2_1,-1,,,
8_2_2,74,False,False,True
8_2_3,-1,,,
7_2_0,75,False,True,False
7_2_1,75,False,True,False
7_2_2,75,False,True,False
0_2_0,76,False,False,False
0_2_1,76,False,False,False
0_2_3,76,False,False,False
7_2_1,77,False,False,True
0_2_0,78,True,False,False
0_2_1,78,True,False,False
0_2_2,78,False,False,True
0_2_3,78,False,False,True
0_1_1,79,True,False,False
0_1_2,79,True,False,False
0_1_3,79,True,False,False
7_2_1,80,False,True,False
7_2_2,80,True,False,False
7_2_0,81,True,False,False
7_2_2,81,True,False,False
7_2_3,81,True,False,False
7_2_3,82,True,False,False
7_2_0,83,False,True,False
7_2_1,83,True,False,False
7_2_2,83,False,True,False
2_2_0,84,False,False,False
7_2_0,85,False,True,False
7_2_1,85,True,False,False
7_2_2,85,False,False,False
2_2_0,86,False,False,False
2_2_1,86,False,False,False
2_2_2,86,False,False,False
2_2_3,86,True,False,False
8_2_2,-1,,,
8_2_1,87,False,True,False
0_0_2,-1,,,
0_0_3,88,True,False,False
8_2_1,89,True,False,False
8_2_3,89,True,False,False
7_2_1,90,True,False,False
7_2_3,90,True,False,False
7_2_0,91,True,False,False
7_2_2,91,True,False,False
